common_voice_eo_17920711|Ĝi jam staras al mi en la gorĝo|Ĝi jam staras al mi en la gorĝo
common_voice_eo_18297821|Vi ne devos lin delasi dum la tuta nokto|Vi ne devos lin delasi dum la tuta nokto
common_voice_eo_17921078|Inter ili troviĝis kuracisto|Inter ili troviĝis kuracisto
common_voice_eo_17935521|Necese estas ke mi iru al la banka firmo|Necese estas ke mi iru al la banka firmo
common_voice_eo_17911827|Perdi la kandelon el la kapo|Perdi la kandelon el la kapo
common_voice_eo_17911829|Ridas blindulo pri lamulo|Ridas blindulo pri lamulo
common_voice_eo_18304043|Ni parolis nur Esperante|Ni parolis nur Esperante
common_voice_eo_18304044|Kia estas via laboro tia estas via valoro|Kia estas via laboro tia estas via valoro
common_voice_eo_17899644|Ameno diablon ne forpelas|Ameno diablon ne forpelas
common_voice_eo_17899645|Li ne toleras eĉ muŝon sur la muro|Li ne toleras eĉ muŝon sur la muro
common_voice_eo_17919417|Tion farinte la junulino fariĝis embarasita|Tion farinte la junulino fariĝis embarasita
common_voice_eo_17919418|Ĉu Beatrico|Ĉu Beatrico
common_voice_eo_18777565|Feliĉo hodiaŭ karesas morgaŭ forgesas|Feliĉo hodiaŭ karesas morgaŭ forgesas
common_voice_eo_18777566|Unu dua semajno fluis ankoraŭ|Unu dua semajno fluis ankoraŭ
common_voice_eo_17996767|Ĉu ili diris siajn nomojn|Ĉu ili diris siajn nomojn
common_voice_eo_17996773|La infano ploras ĉar ĝi volas manĝi|La infano ploras ĉar ĝi volas manĝi
common_voice_eo_17996774|Pro tio se tia estus la vero mi havus nenian motivon por ĝin kaŝi|Pro tio se tia estus la vero mi havus nenian motivon por ĝin kaŝi
common_voice_eo_18394827|Ĉu la memoreco pri la ĵus okazintaj aferoj baldaŭ revenos|Ĉu la memoreco pri la ĵus okazintaj aferoj baldaŭ revenos
common_voice_eo_18394830|Faru miraklon Sinjorego kaj mi vin benos|Faru miraklon Sinjorego kaj mi vin benos
common_voice_eo_18394831|Fernando havis geston de malpacienco|Fernando havis geston de malpacienco
common_voice_eo_18598346|Pli bona estas io ol nenio|Pli bona estas io ol nenio
common_voice_eo_18598348|La ludo kandelon ne valoras|La ludo kandelon ne valoras
common_voice_eo_18598349|Fajro provas la oron mizero la koron|Fajro provas la oron mizero la koron
common_voice_eo_18626567|Estu ĉapo laŭ la kapo|Estu ĉapo laŭ la kapo
common_voice_eo_18626569|Al la papero ne mankas tolero|Al la papero ne mankas tolero
common_voice_eo_18626571|Se vi volas nin akompani nenio estas pli facila|Se vi volas nin akompani nenio estas pli facila
common_voice_eo_18208429|Post konfeso venas forgeso|Post konfeso venas forgeso
common_voice_eo_18208430|Gravega kaj urĝa afero lin devigas nin lasi|Gravega kaj urĝa afero lin devigas nin lasi
common_voice_eo_18208431|Komenco bona  laboro duona|Komenco bona  laboro duona
common_voice_eo_18572719|Propra supo brogas fremda allogas|Propra supo brogas fremda allogas
common_voice_eo_18572720|Oni lin konas kiel makulharan hundon|Oni lin konas kiel makulharan hundon
common_voice_eo_18572721|Tio estas malvera|Tio estas malvera
common_voice_eo_18703824|Estro ne malsatas|Estro ne malsatas
common_voice_eo_18703825|For de la okuloj for de la koro|For de la okuloj for de la koro
common_voice_eo_18703827|La morgaŭon la agoniantino vivis ankoraŭ|La morgaŭon la agoniantino vivis ankoraŭ
common_voice_eo_18546633|Li ne estis mi|Li ne estis mi
common_voice_eo_18546634|Trinki pro ies sano|Trinki pro ies sano
common_voice_eo_18546635|Al malriĉulo ovo kiel al riĉulo bovo|Al malriĉulo ovo kiel al riĉulo bovo
common_voice_eo_18533254|Bedaŭrinde|Bedaŭrinde
common_voice_eo_18533256|Li amas Reĝinon kaj li min forlasas|Li amas Reĝinon kaj li min forlasas
common_voice_eo_18533257|Donaco nesincera estas donaco infera|Donaco nesincera estas donaco infera
common_voice_eo_18533259|Tiu demando ŝajnis al ŝi vere ne utila|Tiu demando ŝajnis al ŝi vere ne utila
common_voice_eo_18298859|Estas finite|Estas finite
common_voice_eo_18298860|Patro kaj frato|Patro kaj frato
common_voice_eo_18298861|Li estas mia frato|Li estas mia frato
common_voice_eo_18298862|Vi eraras li respondis|Vi eraras li respondis
common_voice_eo_17902930|Tion mi ĵuras sur la kapo de mia filo|Tion mi ĵuras sur la kapo de mia filo
common_voice_eo_17902932|Mi havas neniun malamikon|Mi havas neniun malamikon
common_voice_eo_17902933|Nun ĝi tute pasis|Nun ĝi tute pasis
